,LongDest,LatDest,LongOrig,LatOrig
3878,-46.478126,-23.434552899999996,-51.175381099999996,-29.9934732
3883,-46.6565842,-23.6273246,-43.965396000000005,-19.634099
3888,-43.965396000000005,-19.634099,-46.6565842,-23.6273246
3893,-43.965396000000005,-19.634099,-41.9854826,-18.897595499999998
3919,-41.9854826,-18.897595499999998,-43.965396000000005,-19.634099
3945,-38.3312411,-12.9110977,-47.1375685,-23.008205
3947,-47.1375685,-23.008205,-49.1724811,-25.5327132
3955,-46.478126,-23.434552899999996,-35.3673819,-5.768370200000001
3960,-49.1724811,-25.5327132,-51.175381099999996,-29.9934732
3961,-51.133159899999995,-23.332071399999997,-49.1724811,-25.5327132
3963,-56.117268700000004,-15.653078599999999,-51.133159899999995,-23.332071399999997
4038,-51.133159899999995,-23.332071399999997,-56.117268700000004,-15.653078599999999
4039,-49.1724811,-25.5327132,-51.133159899999995,-23.332071399999997
4116,-60.046324899999995,-3.0358473999999998,-63.89832,-8.7141702
4117,-63.89832,-8.7141702,-56.117268700000004,-15.653078599999999
4120,-56.117268700000004,-15.653078599999999,-46.478126,-23.434552899999996
4194,-46.478126,-23.434552899999996,-56.117268700000004,-15.653078599999999
4220,-46.478126,-23.434552899999996,-43.9548899,-19.8498475
4246,-47.4560696,-5.5316945,-48.4775227,-1.3820615
4267,-48.4775227,-1.3820615,-47.4560696,-5.5316945
4288,-51.067109499999994,0.05000809999999999,-48.4775227,-1.3820615
4293,-48.4775227,-1.3820615,-51.067109499999994,0.05000809999999999
4298,-43.9548899,-19.8498475,-46.478126,-23.434552899999996
4329,-51.4176625,-22.1783402,-47.1375685,-23.008205
4334,-48.649086700000005,-26.8805344,-43.1648755,-22.911143799999998
4360,-43.965396000000005,-19.634099,-43.1648755,-22.911143799999998
4361,-43.1648755,-22.911143799999998,-48.649086700000005,-26.8805344
4402,-35.3673819,-5.768370200000001,-34.924015399999995,-8.1259315
4433,-56.117268700000004,-15.653078599999999,-52.0164842,-23.4766098
4459,-54.4909265,-25.5938142,-47.1375685,-23.008205
4464,-47.1375685,-23.008205,-54.4909265,-25.5938142
4469,-52.0164842,-23.4766098,-56.117268700000004,-15.653078599999999
4516,-46.478126,-23.434552899999996,-49.2221166,-16.632488000000002
4521,-50.958645700000005,-17.836782,-47.1375685,-23.008205
4547,-47.1375685,-23.008205,-50.958645700000005,-17.836782
4573,-48.649086700000005,-26.8805344,-46.478126,-23.434552899999996
4599,-46.478126,-23.434552899999996,-39.0317095,-14.8140511
4617,-51.4176625,-22.1783402,-51.133159899999995,-23.332071399999997
4619,-34.924015399999995,-8.1259315,-51.4176625,-22.1783402
4627,-51.133159899999995,-23.332071399999997,-51.4176625,-22.1783402
4628,-51.4176625,-22.1783402,-34.924015399999995,-8.1259315
4637,-43.965396000000005,-19.634099,-40.2835346,-20.257648899999996
4663,-46.478126,-23.434552899999996,-47.7751674,-21.134750699999998
4689,-40.2835346,-20.257648899999996,-43.965396000000005,-19.634099
4715,-49.2221166,-16.632488000000002,-43.965396000000005,-19.634099
4772,-43.965396000000005,-19.634099,-49.2221166,-16.632488000000002
4846,-48.2308653,-18.888969,-43.965396000000005,-19.634099
4867,-43.965396000000005,-19.634099,-48.2308653,-18.888969
4930,-47.9623702,-19.766046399999997,-43.965396000000005,-19.634099
4951,-43.965396000000005,-19.634099,-47.9623702,-19.766046399999997
4977,-42.4876846,-19.4744301,-43.965396000000005,-19.634099
5003,-43.965396000000005,-19.634099,-42.4876846,-19.4744301
5024,-48.2308653,-18.888969,-43.1648755,-22.911143799999998
5050,-43.1648755,-22.911143799999998,-48.2308653,-18.888969
5076,-34.924015399999995,-8.1259315,-43.965396000000005,-19.634099
5077,-43.965396000000005,-19.634099,-51.175381099999996,-29.9934732
5128,-51.175381099999996,-29.9934732,-43.965396000000005,-19.634099
5133,-43.965396000000005,-19.634099,-34.924015399999995,-8.1259315
5180,-47.1375685,-23.008205,-43.1648755,-22.911143799999998
5206,-49.1724811,-25.5327132,-46.6565842,-23.6273246
5251,-44.2348802,-2.5849927000000004,-43.965396000000005,-19.634099
5277,-43.965396000000005,-19.634099,-44.2348802,-2.5849927000000004
5306,-43.1648755,-22.911143799999998,-43.965396000000005,-19.634099
5381,-43.1648755,-22.911143799999998,-47.1375685,-23.008205
5386,-47.7751674,-21.134750699999998,-46.478126,-23.434552899999996
5578,-40.863057299999994,-14.8662434,-43.965396000000005,-19.634099
5599,-43.2494233,-22.8134098,-43.965396000000005,-19.634099
5601,-43.965396000000005,-19.634099,-60.046324899999995,-3.0358473999999998
5627,-43.965396000000005,-19.634099,-40.863057299999994,-14.8662434
5648,-34.924015399999995,-8.1259315,-47.7751674,-21.134750699999998
5653,-47.7751674,-21.134750699999998,-34.924015399999995,-8.1259315
5658,-39.0821431,-16.4395303,-51.4176625,-22.1783402
5661,-51.4176625,-22.1783402,-52.0164842,-23.4766098
5668,-51.4176625,-22.1783402,-39.0821431,-16.4395303
5669,-52.0164842,-23.4766098,-51.4176625,-22.1783402
5678,-63.89832,-8.7141702,-60.046324899999995,-3.0358473999999998
5680,-43.965396000000005,-19.634099,-43.2494233,-22.8134098
5683,-60.046324899999995,-3.0358473999999998,-43.965396000000005,-19.634099
5871,-54.6741233,-20.4686937,-43.1648755,-22.911143799999998
5897,-43.1648755,-22.911143799999998,-54.6741233,-20.4686937
6095,-46.478126,-23.434552899999996,-54.6741233,-20.4686937
6139,-39.6695735,-17.522716600000003,-43.965396000000005,-19.634099
6144,-43.965396000000005,-19.634099,-39.6695735,-17.522716600000003
6149,-56.117268700000004,-15.653078599999999,-43.965396000000005,-19.634099
6201,-43.965396000000005,-19.634099,-56.117268700000004,-15.653078599999999
6202,-56.117268700000004,-15.653078599999999,-63.89832,-8.7141702
6253,-47.1375685,-23.008205,-49.4066209,-20.8159034
6278,-55.5814853,-11.8786454,-47.1375685,-23.008205
6295,-47.1375685,-23.008205,-55.5814853,-11.8786454
6318,-56.117268700000004,-15.653078599999999,-55.5814853,-11.8786454
6344,-55.5814853,-11.8786454,-56.117268700000004,-15.653078599999999
6458,-43.1709909,-21.514326800000003,-47.1375685,-23.008205
6484,-47.1375685,-23.008205,-43.1709909,-21.514326800000003
6536,-56.105199600000006,-9.8723571,-56.117268700000004,-15.653078599999999
6567,-56.117268700000004,-15.653078599999999,-56.105199600000006,-9.8723571
6598,-47.9172348,-15.869736900000001,-47.1375685,-23.008205
6619,-47.1375685,-23.008205,-47.9172348,-15.869736900000001
6661,-43.965396000000005,-19.634099,-43.8200869,-16.704617199999998
6721,-51.175381099999996,-29.9934732,-46.6565842,-23.6273246
6752,-52.0164842,-23.4766098,-46.478126,-23.434552899999996
6773,-46.478126,-23.434552899999996,-52.0164842,-23.4766098
6799,-47.1375685,-23.008205,-51.4176625,-22.1783402
6839,-60.10048760000001,-12.689778500000001,-56.117268700000004,-15.653078599999999
6866,-49.1369385,-5.3717191,-48.4775227,-1.3820615
6868,-43.965396000000005,-19.634099,-49.1369385,-5.3717191
6969,-48.4775227,-1.3820615,-49.1369385,-5.3717191
6971,-49.1369385,-5.3717191,-43.965396000000005,-19.634099
7053,-56.117268700000004,-15.653078599999999,-60.10048760000001,-12.689778500000001
7082,-32.4243853,-3.8546145,-34.924015399999995,-8.1259315
7113,-34.924015399999995,-8.1259315,-32.4243853,-3.8546145
7201,-42.8211703,-5.0635434,-47.1375685,-23.008205
7232,-49.2221166,-16.632488000000002,-43.1648755,-22.911143799999998
7253,-43.1648755,-22.911143799999998,-49.2221166,-16.632488000000002
7274,-47.1375685,-23.008205,-42.8211703,-5.0635434
7345,-48.4775227,-1.3820615,-54.786243299999995,-2.4248295
7348,-54.786243299999995,-2.4248295,-60.046324899999995,-3.0358473999999998
7430,-54.786243299999995,-2.4248295,-48.4775227,-1.3820615
7436,-60.046324899999995,-3.0358473999999998,-54.786243299999995,-2.4248295
7798,-61.4499127,-11.490946000000001,-56.117268700000004,-15.653078599999999
7824,-56.117268700000004,-15.653078599999999,-61.4499127,-11.490946000000001
7891,-39.272229100000004,-7.215097200000001,-47.1375685,-23.008205
7892,-40.5660751,-9.3665077,-39.272229100000004,-7.215097200000001
7894,-47.1375685,-23.008205,-40.5660751,-9.3665077
7984,-34.924015399999995,-8.1259315,-35.792882899999995,-9.5116056
8005,-35.3673819,-5.768370200000001,-38.5330966,-3.7771555
8006,-49.2221166,-16.632488000000002,-35.3673819,-5.768370200000001
8008,-38.5330966,-3.7771555,-49.2221166,-16.632488000000002
8025,-34.924015399999995,-8.1259315,-49.2221166,-16.632488000000002
8030,-49.2221166,-16.632488000000002,-34.924015399999995,-8.1259315
8035,-39.0317095,-14.8140511,-43.965396000000005,-19.634099
8081,-49.2221166,-16.632488000000002,-56.117268700000004,-15.653078599999999
8112,-56.117268700000004,-15.653078599999999,-49.2221166,-16.632488000000002
8143,-34.924015399999995,-8.1259315,-46.478126,-23.434552899999996
8208,-46.478126,-23.434552899999996,-34.924015399999995,-8.1259315
8298,-38.991172999999996,-13.303276,-43.965396000000005,-19.634099
8312,-43.965396000000005,-19.634099,-38.991172999999996,-13.303276
8318,-46.6565842,-23.6273246,-49.1724811,-25.5327132
8354,-40.863057299999994,-14.8662434,-38.3312411,-12.9110977
8359,-34.924015399999995,-8.1259315,-37.07624620000001,-10.9822278
8401,-37.07624620000001,-10.9822278,-34.924015399999995,-8.1259315
8402,-34.924015399999995,-8.1259315,-35.3673819,-5.768370200000001
8516,-47.1375685,-23.008205,-38.3312411,-12.9110977
8594,-38.5330966,-3.7771555,-34.924015399999995,-8.1259315
8595,-48.4775227,-1.3820615,-38.5330966,-3.7771555
8596,-60.046324899999995,-3.0358473999999998,-48.4775227,-1.3820615
8597,-34.924015399999995,-8.1259315,-38.3312411,-12.9110977
8614,-38.3312411,-12.9110977,-34.924015399999995,-8.1259315
8615,-38.5330966,-3.7771555,-48.4775227,-1.3820615
8616,-48.4775227,-1.3820615,-60.046324899999995,-3.0358473999999998
8621,-34.924015399999995,-8.1259315,-38.5330966,-3.7771555
8622,-46.478126,-23.434552899999996,-38.3312411,-12.9110977
8644,-46.478126,-23.434552899999996,-48.799841799999996,-26.2234999
8670,-48.799841799999996,-26.2234999,-46.478126,-23.434552899999996
8701,-47.1375685,-23.008205,-34.950613700000005,-7.147060000000001
8706,-46.6565842,-23.6273246,-51.175381099999996,-29.9934732
8715,-35.792882899999995,-9.5116056,-34.924015399999995,-8.1259315
8763,-32.4243853,-3.8546145,-35.3673819,-5.768370200000001
8816,-35.3673819,-5.768370200000001,-32.4243853,-3.8546145
8929,-34.924015399999995,-8.1259315,-47.1375685,-23.008205
8934,-47.1375685,-23.008205,-34.924015399999995,-8.1259315
8939,-48.2308653,-18.888969,-49.4066209,-20.8159034
8940,-39.0821431,-16.4395303,-48.2308653,-18.888969
8949,-49.4066209,-20.8159034,-48.2308653,-18.888969
8950,-48.2308653,-18.888969,-39.0821431,-16.4395303
8974,-38.3312411,-12.9110977,-39.0821431,-16.4395303
8979,-49.1724811,-25.5327132,-47.1375685,-23.008205
8984,-38.5330966,-3.7771555,-43.965396000000005,-19.634099
8989,-43.965396000000005,-19.634099,-38.5330966,-3.7771555
8994,-35.792882899999995,-9.5116056,-43.965396000000005,-19.634099
8999,-43.965396000000005,-19.634099,-35.792882899999995,-9.5116056
9004,-35.3673819,-5.768370200000001,-43.965396000000005,-19.634099
9009,-43.965396000000005,-19.634099,-35.3673819,-5.768370200000001
9019,-39.0821431,-16.4395303,-43.965396000000005,-19.634099
9024,-43.965396000000005,-19.634099,-39.0821431,-16.4395303
9029,-38.3312411,-12.9110977,-43.965396000000005,-19.634099
9034,-43.965396000000005,-19.634099,-38.3312411,-12.9110977
9081,-39.0821431,-16.4395303,-38.3312411,-12.9110977
9393,-38.3312411,-12.9110977,-40.863057299999994,-14.8662434
9419,-39.0821431,-16.4395303,-47.7751674,-21.134750699999998
9424,-47.7751674,-21.134750699999998,-39.0821431,-16.4395303
9429,-48.5459657,-27.670118,-47.1375685,-23.008205
9455,-47.1375685,-23.008205,-48.5459657,-27.670118
9481,-38.249740700000004,-9.4006288,-38.3312411,-12.9110977
9494,-38.3312411,-12.9110977,-38.249740700000004,-9.4006288
9507,-41.2755432,-12.4837489,-38.3312411,-12.9110977
9511,-38.3312411,-12.9110977,-41.2755432,-12.4837489
9515,-34.950613700000005,-7.147060000000001,-38.5330966,-3.7771555
9516,-38.3312411,-12.9110977,-34.950613700000005,-7.147060000000001
9567,-34.950613700000005,-7.147060000000001,-38.3312411,-12.9110977
9575,-38.5330966,-3.7771555,-34.950613700000005,-7.147060000000001
9619,-69.939394,-4.2503801,-60.046324899999995,-3.0358473999999998
9650,-60.046324899999995,-3.0358473999999998,-69.939394,-4.2503801
9681,-54.4909265,-25.5938142,-49.1724811,-25.5327132
9707,-49.1724811,-25.5327132,-54.4909265,-25.5938142
9774,-38.5330966,-3.7771555,-44.2348802,-2.5849927000000004
9779,-44.2348802,-2.5849927000000004,-47.4560696,-5.5316945
9819,-41.2755432,-12.4837489,-43.965396000000005,-19.634099
9828,-43.965396000000005,-19.634099,-41.2755432,-12.4837489
9837,-42.079235700000005,-22.9256289,-43.965396000000005,-19.634099
9846,-43.965396000000005,-19.634099,-42.079235700000005,-22.9256289
9855,-56.7696703,-2.669512,-60.046324899999995,-3.0358473999999998
9860,-60.046324899999995,-3.0358473999999998,-56.7696703,-2.669512
9865,-56.0068645,-4.2457249,-48.4775227,-1.3820615
9867,-54.786243299999995,-2.4248295,-56.0068645,-4.2457249
9869,-48.4775227,-1.3820615,-56.390135,-1.4855014
9871,-56.390135,-1.4855014,-54.786243299999995,-2.4248295
9901,-48.4775227,-1.3820615,-56.0068645,-4.2457249
9902,-56.390135,-1.4855014,-48.4775227,-1.3820615
9903,-56.0068645,-4.2457249,-54.786243299999995,-2.4248295
9904,-54.786243299999995,-2.4248295,-56.390135,-1.4855014
9942,-60.69259029999999,2.8419237999999996,-60.046324899999995,-3.0358473999999998
9947,-60.046324899999995,-3.0358473999999998,-60.69259029999999,2.8419237999999996
9968,-60.046324899999995,-3.0358473999999998,-47.1375685,-23.008205
10020,-47.1375685,-23.008205,-60.046324899999995,-3.0358473999999998
10072,-43.1709909,-21.514326800000003,-46.478126,-23.434552899999996
10093,-46.478126,-23.434552899999996,-43.1709909,-21.514326800000003
10155,-52.3296274,-28.2428363,-47.1375685,-23.008205
10160,-47.1375685,-23.008205,-52.3296274,-28.2428363
10165,-54.6741233,-20.4686937,-49.1724811,-25.5327132
10168,-56.117268700000004,-15.653078599999999,-54.6741233,-20.4686937
10269,-54.6741233,-20.4686937,-56.117268700000004,-15.653078599999999
10275,-49.1724811,-25.5327132,-54.6741233,-20.4686937
10419,-46.478126,-23.434552899999996,-40.2835346,-20.257648899999996
10492,-51.175381099999996,-29.9934732,-48.799841799999996,-26.2234999
10574,-47.7751674,-21.134750699999998,-47.1375685,-23.008205
10594,-43.965396000000005,-19.634099,-39.0317095,-14.8140511
10730,-60.046324899999995,-3.0358473999999998,-47.9172348,-15.869736900000001
10777,-46.478126,-23.434552899999996,-47.9172348,-15.869736900000001
10778,-51.175381099999996,-29.9934732,-46.478126,-23.434552899999996
10890,-44.2348802,-2.5849927000000004,-38.5330966,-3.7771555
10896,-47.4560696,-5.5316945,-44.2348802,-2.5849927000000004
11068,-56.4498277,-21.243192,-46.478126,-23.434552899999996
11069,-46.478126,-23.434552899999996,-56.4498277,-21.243192
11073,-54.6741233,-20.4686937,-47.1375685,-23.008205
11080,-47.1375685,-23.008205,-54.6741233,-20.4686937
11140,-39.0821431,-16.4395303,-46.6565842,-23.6273246
11145,-46.6565842,-23.6273246,-39.0821431,-16.4395303
11164,-45.010200299999994,-12.078983000000001,-47.9172348,-15.869736900000001
11170,-50.0010055,-6.114454,-43.965396000000005,-19.634099
11252,-53.501918,-25.001815,-47.1375685,-23.008205
11329,-49.1724811,-25.5327132,-43.1648755,-22.911143799999998
11354,-43.1648755,-22.911143799999998,-49.1724811,-25.5327132
11411,-51.133159899999995,-23.332071399999997,-47.1375685,-23.008205
11416,-47.1375685,-23.008205,-51.133159899999995,-23.332071399999997
11478,-47.1375685,-23.008205,-52.0164842,-23.4766098
11483,-51.175381099999996,-29.9934732,-52.3279312,-31.71795
11498,-52.0164842,-23.4766098,-47.1375685,-23.008205
11503,-40.2835346,-20.257648899999996,-47.1375685,-23.008205
11508,-46.6565842,-23.6273246,-39.0317095,-14.8140511
11516,-49.720298799999995,-3.7860099999999997,-48.4775227,-1.3820615
11522,-49.1369385,-5.3717191,-49.720298799999995,-3.7860099999999997
11552,-38.907428100000004,-12.2011856,-43.965396000000005,-19.634099
11567,-43.965396000000005,-19.634099,-38.907428100000004,-12.2011856
11572,-39.0317095,-14.8140511,-46.6565842,-23.6273246
11823,-43.1648755,-22.911143799999998,-41.30818370000001,-21.7011171
11924,-47.1375685,-23.008205,-48.649086700000005,-26.8805344
11985,-41.30818370000001,-21.7011171,-43.1648755,-22.911143799999998
12383,-51.175381099999996,-29.9934732,-47.1375685,-23.008205
12664,-47.1375685,-23.008205,-51.175381099999996,-29.9934732
12742,-48.649086700000005,-26.8805344,-47.1375685,-23.008205
12743,-51.175381099999996,-29.9934732,-48.649086700000005,-26.8805344
12872,-56.4498277,-21.243192,-47.1375685,-23.008205
12877,-47.1375685,-23.008205,-56.4498277,-21.243192
13136,-47.1375685,-23.008205,-40.2835346,-20.257648899999996
13150,-49.4066209,-20.8159034,-47.1375685,-23.008205
13258,-56.117268700000004,-15.653078599999999,-47.1375685,-23.008205
13347,-47.1375685,-23.008205,-56.117268700000004,-15.653078599999999
13551,-43.965396000000005,-19.634099,-48.4775227,-1.3820615
13649,-35.792882899999995,-9.5116056,-47.1375685,-23.008205
13650,-37.07624620000001,-10.9822278,-35.792882899999995,-9.5116056
13654,-47.1375685,-23.008205,-37.07624620000001,-10.9822278
13742,-47.1375685,-23.008205,-35.792882899999995,-9.5116056
13744,-37.07624620000001,-10.9822278,-47.1375685,-23.008205
13747,-35.792882899999995,-9.5116056,-37.07624620000001,-10.9822278
13879,-48.649086700000005,-26.8805344,-51.175381099999996,-29.9934732
13950,-49.2221166,-16.632488000000002,-47.1375685,-23.008205
14058,-43.1648755,-22.911143799999998,-43.9548899,-19.8498475
14178,-47.1375685,-23.008205,-49.2221166,-16.632488000000002
14220,-47.1375685,-23.008205,-49.4222546,-28.7232502
14256,-43.9548899,-19.8498475,-43.1648755,-22.911143799999998
14282,-54.924882499999995,-22.1971221,-47.1375685,-23.008205
14475,-47.1375685,-23.008205,-48.799841799999996,-26.2234999
14494,-48.3575251,-10.294325599999999,-49.2221166,-16.632488000000002
14557,-49.2221166,-16.632488000000002,-48.3575251,-10.294325599999999
14742,-54.6741233,-20.4686937,-46.478126,-23.434552899999996
15063,-48.4775227,-1.3820615,-43.965396000000005,-19.634099
15208,-39.0821431,-16.4395303,-47.1375685,-23.008205
15213,-47.1375685,-23.008205,-39.0821431,-16.4395303
15498,-47.1375685,-23.008205,-43.2494233,-22.8134098
15501,-35.3673819,-5.768370200000001,-47.1375685,-23.008205
15550,-47.1375685,-23.008205,-35.3673819,-5.768370200000001
15551,-43.2494233,-22.8134098,-47.1375685,-23.008205
16167,-47.1375685,-23.008205,-48.2308653,-18.888969
16193,-49.9298086,-22.1970898,-47.1375685,-23.008205
16195,-47.1375685,-23.008205,-49.0721697,-22.165992199999998
16196,-49.0721697,-22.165992199999998,-49.9298086,-22.1970898
16412,-42.8211703,-5.0635434,-38.5330966,-3.7771555
16414,-44.2348802,-2.5849927000000004,-42.8211703,-5.0635434
16567,-38.5330966,-3.7771555,-42.8211703,-5.0635434
16568,-42.8211703,-5.0635434,-44.2348802,-2.5849927000000004
16774,-48.799841799999996,-26.2234999,-47.1375685,-23.008205
16848,-34.950613700000005,-7.147060000000001,-47.1375685,-23.008205
17010,-47.1375685,-23.008205,-52.6606432,-27.134138500000002
17013,-52.6606432,-27.134138500000002,-51.175381099999996,-29.9934732
17052,-51.175381099999996,-29.9934732,-52.6606432,-27.134138500000002
17054,-52.6606432,-27.134138500000002,-47.1375685,-23.008205
17104,-42.8211703,-5.0635434,-34.924015399999995,-8.1259315
17197,-34.924015399999995,-8.1259315,-42.8211703,-5.0635434
17550,-51.1869302,-29.1949191,-47.1375685,-23.008205
17571,-47.1375685,-23.008205,-51.1869302,-29.1949191
17622,-47.1375685,-23.008205,-54.924882499999995,-22.1971221
18497,-47.1375685,-23.008205,-50.4259826,-21.137590799999998
