,airport,LongOrig,LatOrig
29136,Atlanta/Intl,-84.4277001,33.6407282
29423,Munchen,11.775027900000001,48.3536621
29619,Luanda,13.234862,-8.847951
29712,Ab Dhabi International,54.650073600000006,24.441938
29743,Intl Bole Airport,38.7989319,8.9800689
36413,Cruzeiro Do Sul,-72.77342800000001,-7.598349000000001
41610,Presidente Joao Suassuna,-35.8940206,-7.2688784
58825,Rosario,-60.7803905,-32.9168872
58837,Zandery,-55.2000586,5.4560033
58882,Assuncao,-57.5141814,-25.2415129
58922,Mendoza,-68.7984902,-32.8278642
58949,Montevideu,-56.03024179999999,-34.8371859
59052,Cordoba,-64.2123198,-31.315436699999996
59119,Aruba,-70.0119926,12.5015939
59137,Caracas/Intl,-66.81713140000001,10.288347
59267,Bridgetown/Grantley Adams,-59.4877921,13.076584800000001
59355,Punta Cana,-68.36839659999998,18.5622845
59445,Santiago Do Chile,-70.7972354,-33.391189399999995
60164,Curacao,-68.960945,12.188463
60192,Milao,9.276308,45.452176
60223,Amsterdam,4.768274400000001,52.3105386
60746,Cidade Del Este,-54.843592,-25.4555
60939,Lima,-77.10744140000001,-12.0436644
67258,Carauari,-66.899163,-4.8755008
67267,Sao Gabriel Da Cachoeira,-66.99130550000001,-0.1510764
67269,Barcelos,-62.9175264,-0.9756045
67302,Eirunepe,-69.88315190000002,-6.6368523
67314,Coari,-65.3491463,-4.88428
67319,Francisco Correa Da Cruz,-63.0705311,-7.5397607
67322,Manicore,-61.2840064,-5.8097377
67342,Labrea,-64.7695129,-7.2780848
69340,Araguaina,-48.2405331,-7.228391499999999
70460,Hamad,51.6137665,25.2605946
70588,Casablanca,-7.584848399999999,33.374393
70610,Johannesburg,28.241145899999996,-26.1366728
70712,Barcelona,2.0832941000000003,41.297445
70762,Zurique,8.5554755,47.4582165
70886,Quito,-78.3585584,-0.1225875
73650,Professor Urbano Ernesto Stumpf,-45.8620445,-23.2256787
84675,Aeroporto De Jaguaruna,-49.0663451,-28.6767653
89183,Maldonado-Uruguai,-54.9183127,-34.914744
89292,Cancun/Intl,-86.873564,21.040340899999997
89314,Lisboa,-9.135366699999999,38.7755936
89629,Porto,-8.678551400000002,41.2421186
89930,Cabo Verde,-23.4865265,14.9453055
89938,Ilha Do Sal,-22.943613,16.734695000000002
89964,Istanbul/Ataturk,28.810442499999997,40.9829888
90308,Dubai International,55.3656728,25.2531745
90493,Newark / Intl Nj,-74.17446240000001,40.6895314
90586,Chicago,-87.9073214,41.9741625
90648,Washington/Dulles Intl,-77.45653879999999,38.953116200000004
196717,Major Brigadeiro Trompowsky,-45.4738081,-21.586537399999997
269354,Cheddi Jagan Intl,6.503876,-58.253037
439534,Correia Pinto,-50.2792827,-27.781831800000003
447520,Prefeito Doutor Joao Silva Filho,-41.7297975,-2.895248
459629,Sorriso,-55.6753917,-12.479855699999998
514087,Aeroporto Internacional Lome-Tokoin,1.2530653999999999,6.1705463
737785,Ponta Grossa,-49.1724811,-25.5327132
797107,Barra Do Garcas,-52.390556,-15.858693400000002
